Tank,N & P,Size,Treatment,Schisto,Week,Snail,Total_Biomass,Cercarial_production,Infected_abundance,Sampling_Effort,Eggs,Phyto_F,Peri_F,Snail_density,Biomass_density
15,Low,Large,Low-Large,No,5,58,751.9306951,0,0,3,0,54.66666667,2040,58,751.9306951
16,Low,Intermediate,Low-Intermediate,No,5,108,588.2240636,0,0,3,0,312.3333333,374.6666667,108,588.2240636
17,Low,Large,Low-Large,Yes,5,160,509.427535,291,1,3,0,139.6666667,351.6666667,160,509.427535
18,High,Large,High-Large,Yes,5,79,926.2110345,0,0,3,0,251,5035,79,926.2110345
19,Low,Large,Low-Large,Yes,5,74,836.7707781,5692,14,3,0,56.66666667,1531.666667,74,836.7707781
20,Low,Intermediate,Low-Intermediate,No,5,113,312.0321449,0,0,3,0,372,579.3333333,113,312.0321449
21,High,Intermediate,High-Intermediate,Yes,5,78,645.7904464,3137,1,3,10,735.6666667,415,78,645.7904464
22,High,Small,High-Small,Yes,5,106,189.2131466,0,0,3,5,85.33333333,5027.333333,106,189.2131466
23,High,Intermediate,High-Intermediate,No,5,34,647.6522013,0,0,3,4,85.33333333,958,34,647.6522013
24,High,Intermediate,High-Intermediate,Yes,5,98,319.441493,390,1,3,0,5729.666667,3013,98,319.441493
25,Low,Small,Low-Small,Yes,5,37,255.0827236,3312,3,3,0,167.3333333,349.6666667,37,255.0827236
26,Low,Small,Low-Small,Yes,5,6,258.7840619,7291,2,3,5,70.66666667,463.6666667,6,258.7840619
27,Low,Large,Low-Large,Yes,5,35,365.6915172,1809,5,3,0,102.6666667,5011.333333,35,365.6915172
28,High,Small,High-Small,Yes,5,77,253.44021,0,0,3,9,425.3333333,1415.333333,77,253.44021
29,Low,Small,Low-Small,No,5,8,248.1297758,0,0,3,10,279,2012.333333,8,248.1297758
30,Low,Small,Low-Small,Yes,5,35,446.3056357,2160,3,3,14,147,472,35,446.3056357
31,High,Large,High-Large,Yes,5,184,773.4952284,0,0,3,34,367.3333333,502,184,773.4952284
32,High,Small,High-Small,Yes,5,13,198.6584711,321,1,3,6,1279,9044.333333,13,198.6584711
33,Low,Intermediate,Low-Intermediate,Yes,5,85,169.8983937,521,2,3,0,173,1115.666667,85,169.8983937
34,Low,Intermediate,Low-Intermediate,Yes,5,88,521.6672748,4801,5,3,0,152.3333333,511.3333333,88,521.6672748
35,High,Large,High-Large,No,5,78,1435.009236,0,0,3,2,457.3333333,2161.666667,78,1435.009236
36,Low,Large,Low-Large,Yes,5,53,459.5320706,1916,3,3,0,299.6666667,437,53,459.5320706
37,High,Intermediate,High-Intermediate,Yes,5,85,241.3962997,296,2,3,0,8369.666667,5026.666667,85,241.3962997
38,High,Small,High-Small,No,5,148,399.6819886,0,0,3,13,371.6666667,956.6666667,148,399.6819886
39,High,Large,High-Large,Yes,5,56,255.4051265,0,0,3,1,162.3333333,604,56,255.4051265
40,Low,Intermediate,Low-Intermediate,Yes,5,42,103.4139233,826,1,3,0,458,1766.666667,42,103.4139233
41,High,Intermediate,High-Intermediate,Yes,5,56,453.2915985,221,1,3,4,425,2989.666667,56,453.2915985
42,High,Large,High-Large,Yes,5,215,825.6122421,1059,11,3,8,77.66666667,4344,215,825.6122421
43,High,Intermediate,High-Intermediate,Yes,5,19,575.8238903,1550,1,3,21,1595.666667,6003,19,575.8238903
44,High,Large,High-Large,Yes,5,159,454.2570469,0,0,3,0,4879.666667,2324,159,454.2570469
45,Low,Large,Low-Large,Yes,5,77,262.8917007,32,1,3,0,296.3333333,1282,77,262.8917007
46,High,Intermediate,High-Intermediate,Yes,5,80,563.0380783,0,0,3,1,405,1966,80,563.0380783
47,Low,Small,Low-Small,No,5,26,499.7883127,0,0,3,1,200,849.6666667,26,499.7883127
48,High,Intermediate,High-Intermediate,No,5,20,583.6723167,0,0,3,4,138.6666667,584.6666667,20,583.6723167
1,High,Small,High-Small,No,6,40,495.7314466,0,0,3,27,236.6666667,1085.333333,40,495.7314466
2,Low,Intermediate,Low-Intermediate,Yes,6,76,870.7467047,384,3,3,0,394.3333333,108.6666667,76,870.7467047
3,Low,Intermediate,Low-Intermediate,Yes,6,42,556.3670365,229,5,3,0,1535.333333,2637,42,556.3670365
4,High,Small,High-Small,Yes,6,6,356.3196666,0,0,3,10,73.66666667,617,6,356.3196666
5,High,Small,High-Small,Yes,6,114,701.3896925,1084,1,3,4,123.3333333,6083,114,701.3896925
6,Low,Small,Low-Small,Yes,6,118,285.576082,0,0,3,0,472.6666667,479.3333333,118,285.576082
7,High,Large,High-Large,No,6,132,503.9587354,0,0,3,0,378,938.3333333,132,503.9587354
8,Low,Large,Low-Large,Yes,6,119,280.285824,241,1,3,0,468,1010,119,280.285824
9,Low,Small,Low-Small,Yes,6,90,321.2397042,0,0,3,0,328.3333333,597.3333333,90,321.2397042
10,Low,Small,Low-Small,Yes,6,2,54.40237086,0,0,3,0,213.3333333,3055.333333,2,54.40237086
11,High,Large,High-Large,Yes,6,172,240.3825436,0,0,3,0,278.3333333,1184.333333,172,240.3825436
12,Low,Large,Low-Large,No,6,33,219.339787,0,0,3,0,772.3333333,990,33,219.339787
13,Low,Intermediate,Low-Intermediate,Yes,6,29,141.8683558,433,1,3,0,450.3333333,605.3333333,29,141.8683558
14,High,Small,High-Small,Yes,6,52,819.2634957,0,0,3,10,129.3333333,1903,52,819.2634957
15,Low,Large,Low-Large,No,6,38,547.5566453,0,0,3,0,372.3333333,1022.666667,38,547.5566453
16,Low,Intermediate,Low-Intermediate,No,6,50,367.6065889,0,0,3,0,746,807.3333333,50,367.6065889
17,Low,Large,Low-Large,Yes,6,108,361.4356197,315,2,3,0,122,614.3333333,108,361.4356197
18,High,Large,High-Large,Yes,6,112,827.8758272,0,0,3,0,1552,3005.333333,112,827.8758272
19,Low,Large,Low-Large,Yes,6,75,409.490448,297,1,3,0,412.6666667,2207,75,409.490448
20,Low,Intermediate,Low-Intermediate,No,6,153,205.5567212,0,0,3,0,153,312.3333333,153,205.5567212
21,High,Intermediate,High-Intermediate,Yes,6,230,1389.50135,982,5,3,1,5002,1093.666667,230,1389.50135
22,High,Small,High-Small,Yes,6,186,243.978337,0,0,3,0,116.3333333,3206,186,243.978337
23,High,Intermediate,High-Intermediate,No,6,71,663.8947194,0,0,3,4,120.3333333,4735,71,663.8947194
24,High,Intermediate,High-Intermediate,Yes,6,131,417.2297798,2905,3,3,0,6123,1380,131,417.2297798
25,Low,Small,Low-Small,Yes,6,25,64.35240898,1561,2,3,0,271,384.6666667,25,64.35240898
26,Low,Small,Low-Small,Yes,6,48,152.0663179,0,0,3,3,398.6666667,4351.666667,48,152.0663179
27,Low,Large,Low-Large,Yes,6,77,335.0896628,0,0,3,0,603.6666667,1741.333333,77,335.0896628
28,High,Small,High-Small,Yes,6,153,477.8610498,0,0,3,9,670.6666667,1974,153,477.8610498
29,Low,Small,Low-Small,No,6,15,252.8651556,0,0,3,1,273.3333333,809.3333333,15,252.8651556
30,Low,Small,Low-Small,Yes,6,78,271.4375449,81,2,3,0,208.3333333,349,78,271.4375449
31,High,Large,High-Large,Yes,6,278,1068.624117,0,0,3,0,2006.333333,1183,278,1068.624117
32,High,Small,High-Small,Yes,6,97,182.0825057,0,0,3,11,1863,2511.666667,97,182.0825057
33,Low,Intermediate,Low-Intermediate,Yes,6,121,500.8016338,443,3,3,0,541,936,121,500.8016338
34,Low,Intermediate,Low-Intermediate,Yes,6,73,502.9256884,203,2,3,0,312.6666667,976.6666667,73,502.9256884
35,High,Large,High-Large,No,6,63,583.0203075,0,0,3,0,524,1732.333333,63,583.0203075
36,Low,Large,Low-Large,Yes,6,69,760.8553513,60,1,3,0,346.6666667,551.6666667,69,760.8553513
37,High,Intermediate,High-Intermediate,Yes,6,70,217.9350057,55,1,3,0,4559.333333,2202.666667,70,217.9350057
38,High,Small,High-Small,No,6,149,878.9183615,0,0,3,1,2082.666667,1292.666667,149,878.9183615
39,High,Large,High-Large,Yes,6,18,247.0409278,103,1,3,0,298.6666667,1463.666667,18,247.0409278
40,Low,Intermediate,Low-Intermediate,Yes,6,24,179.4400981,443,2,3,0,631.3333333,1437,24,179.4400981
41,High,Intermediate,High-Intermediate,Yes,6,82,481.4632707,0,0,3,1,981,1845,82,481.4632707
42,High,Large,High-Large,Yes,6,151,855.0672191,1388,1,3,1,90.66666667,5529.666667,151,855.0672191
43,High,Intermediate,High-Intermediate,Yes,6,66,970.0937593,0,0,3,4,1244.666667,4738.666667,66,970.0937593
44,High,Large,High-Large,Yes,6,224,414.8494411,0,0,3,6,2863.333333,1182.666667,224,414.8494411
45,Low,Large,Low-Large,Yes,6,56,500.6694049,22,1,3,0,540.3333333,733,56,500.6694049
46,High,Intermediate,High-Intermediate,Yes,6,40,355.4189963,0,0,3,0,1127,976,40,355.4189963
47,Low,Small,Low-Small,No,6,23,134.451836,0,0,3,0,232.6666667,600.3333333,23,134.451836
48,High,Intermediate,High-Intermediate,No,6,10,236.4591853,0,0,3,3,976.3333333,1853,10,236.4591853
1,High,Small,High-Small,No,7,92,693.4240902,0,0,3,17,432.3333333,2538.333333,92,693.4240902
2,Low,Intermediate,Low-Intermediate,Yes,7,74,423.8670513,608,5,3,0,437.6666667,579,74,423.8670513
3,Low,Intermediate,Low-Intermediate,Yes,7,39,306.1775238,0,0,3,0,2153.333333,9057.333333,39,306.1775238
4,High,Small,High-Small,Yes,7,180,64.30025547,0,0,3,5,3129,11510.33333,180,64.30025547
5,High,Small,High-Small,Yes,7,174,875.8933729,1127,1,3,12,1107.333333,11976.33333,174,875.8933729
6,Low,Small,Low-Small,Yes,7,90,262.0414836,0,0,3,0,164.6666667,669,90,262.0414836
7,High,Large,High-Large,No,7,103,621.4283239,0,0,3,0,2053,5244.333333,103,621.4283239
8,Low,Large,Low-Large,Yes,7,202,217.261156,48,1,3,0,84.66666667,554.6666667,202,217.261156
9,Low,Small,Low-Small,Yes,7,113,205.4450373,0,0,3,0,184,710,113,205.4450373
10,Low,Small,Low-Small,Yes,7,6,67.20580991,0,0,3,4,225,4778.666667,6,67.20580991
11,High,Large,High-Large,Yes,7,146,172.4326211,0,0,3,3,250.6666667,3352,146,172.4326211
12,Low,Large,Low-Large,No,7,36,322.9946977,0,0,3,0,1153.666667,1319.333333,36,322.9946977
13,Low,Intermediate,Low-Intermediate,Yes,7,55,263.9220163,179,1,3,0,497.6666667,949,55,263.9220163
14,High,Small,High-Small,Yes,7,49,252.0561921,0,0,3,7,1882.333333,2910.666667,49,252.0561921
15,Low,Large,Low-Large,No,7,25,259.8494172,0,0,3,0,693,1522,25,259.8494172
16,Low,Intermediate,Low-Intermediate,No,7,73,470.60793,0,0,3,0,1227,1279.333333,73,470.60793
17,Low,Large,Low-Large,Yes,7,147,267.0911712,0,0,3,0,187,797.6666667,147,267.0911712
18,High,Large,High-Large,Yes,7,113,1014.487432,293,6,3,0,227.6666667,3272.333333,113,1014.487432
19,Low,Large,Low-Large,Yes,7,63,344.6971148,357,1,3,0,241,2550,63,344.6971148
20,Low,Intermediate,Low-Intermediate,No,7,115,159.8256369,0,0,3,0,170.6666667,1280,115,159.8256369
21,High,Intermediate,High-Intermediate,Yes,7,213,774.6069561,2565,3,3,1,3653,1124.333333,213,774.6069561
22,High,Small,High-Small,Yes,7,188,160.8287499,0,0,3,0,1076,5737.666667,188,160.8287499
23,High,Intermediate,High-Intermediate,No,7,71,617.9337961,0,0,3,3,417,6247.666667,71,617.9337961
24,High,Intermediate,High-Intermediate,Yes,7,136,381.8201258,2,1,3,0,9253.666667,3112.666667,136,381.8201258
25,Low,Small,Low-Small,Yes,7,72,319.3178948,0,0,3,0,258.3333333,713,72,319.3178948
26,Low,Small,Low-Small,Yes,7,67,398.0898818,876,1,3,0,470,834.3333333,67,398.0898818
27,Low,Large,Low-Large,Yes,7,41,185.919683,0,0,3,0,1340.333333,1327,41,185.919683
28,High,Small,High-Small,Yes,7,143,765.0572943,0,0,3,0,5060.333333,2034.666667,143,765.0572943
29,Low,Small,Low-Small,No,7,32,408.2570632,0,0,3,4,488,721.6666667,32,408.2570632
30,Low,Small,Low-Small,Yes,7,127,443.2341249,0,0,3,1,242,436.6666667,127,443.2341249
31,High,Large,High-Large,Yes,7,240,652.7371295,0,0,3,0,1123,3698.666667,240,652.7371295
32,High,Small,High-Small,Yes,7,139,539.110593,2710,1,3,12,345.6666667,891.6666667,139,539.110593
33,Low,Intermediate,Low-Intermediate,Yes,7,97,314.9950351,156,1,3,0,669.3333333,1073.666667,97,314.9950351
34,Low,Intermediate,Low-Intermediate,Yes,7,118,361.8020891,121,2,3,0,793.6666667,813.6666667,118,361.8020891
35,High,Large,High-Large,No,7,90,500.2289403,0,0,3,0,259,3237.666667,90,500.2289403
36,Low,Large,Low-Large,Yes,7,50,527.8406585,1045,4,3,0,371.6666667,581,50,527.8406585
37,High,Intermediate,High-Intermediate,Yes,7,62,364.9755596,0,0,3,0,1766.333333,1681,62,364.9755596
38,High,Small,High-Small,No,7,368,902.2060017,0,0,3,0,4566,3036.666667,368,902.2060017
39,High,Large,High-Large,Yes,7,44,294.3944818,70,1,3,0,1205.333333,3385,44,294.3944818
40,Low,Intermediate,Low-Intermediate,Yes,7,48,155.4164969,0,0,3,0,301.6666667,1797.333333,48,155.4164969
41,High,Intermediate,High-Intermediate,Yes,7,93,639.8644737,446,2,3,0,1395,2550,93,639.8644737
42,High,Large,High-Large,Yes,7,194,995.9426676,11,3,3,0,602,5788.333333,194,995.9426676
43,High,Intermediate,High-Intermediate,Yes,7,121,1040.867643,2149,13,3,0,1237.666667,4983.333333,121,1040.867643
44,High,Large,High-Large,Yes,7,146,315.2876993,0,0,3,0,2121.333333,1984.666667,146,315.2876993
45,Low,Large,Low-Large,Yes,7,77,489.3096363,3,1,3,0,182.3333333,1130.666667,77,489.3096363
46,High,Intermediate,High-Intermediate,Yes,7,84,728.3130061,0,0,3,0,201.3333333,1802.333333,84,728.3130061
47,Low,Small,Low-Small,No,7,31,229.7641994,0,0,3,0,417.6666667,902.6666667,31,229.7641994
48,High,Intermediate,High-Intermediate,No,7,96,347.0530288,0,0,3,6,3804,4865,96,347.0530288
1,High,Small,High-Small,No,8,166,654.1605186,0,0,3,5,1293.333333,3496.666667,166,654.1605186
2,Low,Intermediate,Low-Intermediate,Yes,8,39,246.8772497,10,2,3,0,1420,751.6666667,39,246.8772497
3,Low,Intermediate,Low-Intermediate,Yes,8,35,245.0497875,0,0,3,0,956,1074.333333,35,245.0497875
4,High,Small,High-Small,Yes,8,217,275.7274491,0,0,3,0,3270.333333,6792.666667,217,275.7274491
5,High,Small,High-Small,Yes,8,229,916.8282968,57,1,3,0,3539.666667,8970.666667,229,916.8282968
6,Low,Small,Low-Small,Yes,8,63,426.6658728,65,1,3,0,177.3333333,885.3333333,63,426.6658728
7,High,Large,High-Large,No,8,80,832.2948022,0,0,3,0,655.3333333,2522.666667,80,832.2948022
8,Low,Large,Low-Large,Yes,8,133,102.5833548,0,0,3,0,673.3333333,731.6666667,133,102.5833548
9,Low,Small,Low-Small,Yes,8,222,372.1369237,0,0,3,0,123.6666667,672.6666667,222,372.1369237
10,Low,Small,Low-Small,Yes,8,49,290.0974768,0,0,3,1,627,2252.666667,49,290.0974768
11,High,Large,High-Large,Yes,8,398,704.9680374,0,0,3,1,272.3333333,5010.666667,398,704.9680374
12,Low,Large,Low-Large,No,8,45,334.601758,0,0,3,0,1135.333333,1445.333333,45,334.601758
13,Low,Intermediate,Low-Intermediate,Yes,8,37,216.3574662,0,0,3,0,663,1837.666667,37,216.3574662
14,High,Small,High-Small,Yes,8,89,611.0890613,334,1,3,3,707,3039.666667,89,611.0890613
15,Low,Large,Low-Large,No,8,33,234.9387234,0,0,3,0,1372.333333,1772.666667,33,234.9387234
16,Low,Intermediate,Low-Intermediate,No,8,65,609.7865737,0,0,3,0,1749.333333,2217.666667,65,609.7865737
17,Low,Large,Low-Large,Yes,8,94,336.0867516,0,0,3,0,350,519,94,336.0867516
18,High,Large,High-Large,Yes,8,57,543.2594938,1,1,3,0,1436.666667,4790.333333,57,543.2594938
19,Low,Large,Low-Large,Yes,8,136,401.9367591,87,3,3,0,519.3333333,1864.333333,136,401.9367591
20,Low,Intermediate,Low-Intermediate,No,8,134,340.8302148,0,0,3,0,267,465.6666667,134,340.8302148
21,High,Intermediate,High-Intermediate,Yes,8,266,1135.436495,50,1,3,0,1934.666667,1770,266,1135.436495
22,High,Small,High-Small,Yes,8,240,306.177719,0,0,3,0,546,2635,240,306.177719
23,High,Intermediate,High-Intermediate,No,8,108,584.9670841,0,0,3,4,5584,6015,108,584.9670841
24,High,Intermediate,High-Intermediate,Yes,8,138,553.337727,1,1,3,0,8653.666667,1660.666667,138,553.337727
25,Low,Small,Low-Small,Yes,8,7,5.501108397,0,0,3,0,315.6666667,1344.333333,7,5.501108397
26,Low,Small,Low-Small,Yes,8,59,187.7129386,0,0,3,0,889.3333333,894.6666667,59,187.7129386
27,Low,Large,Low-Large,Yes,8,94,85.8131712,0,0,3,0,1012.333333,11389.33333,94,85.8131712
28,High,Small,High-Small,Yes,8,151,814.4566347,0,0,3,1,9211,2884.666667,151,814.4566347
29,Low,Small,Low-Small,No,8,59,527.1721634,0,0,3,3,816,402.3333333,59,527.1721634
30,Low,Small,Low-Small,Yes,8,97,456.017616,0,0,3,0,348.3333333,421.6666667,97,456.017616
31,High,Large,High-Large,Yes,8,213,1011.051443,0,0,3,0,3676.333333,1758.666667,213,1011.051443
32,High,Small,High-Small,Yes,8,200,802.3606639,0,0,3,2,477,5538,200,802.3606639
33,Low,Intermediate,Low-Intermediate,Yes,8,104,541.3168639,0,0,3,0,503.3333333,805.3333333,104,541.3168639
34,Low,Intermediate,Low-Intermediate,Yes,8,108,51.95987793,0,0,3,0,570.6666667,1154.666667,108,51.95987793
35,High,Large,High-Large,No,8,94,1014.612871,0,0,3,0,502,8135,94,1014.612871
36,Low,Large,Low-Large,Yes,8,12,56.78873438,0,0,3,0,795.6666667,681.6666667,12,56.78873438
37,High,Intermediate,High-Intermediate,Yes,8,68,327.0104088,0,0,3,1,2247,3310,68,327.0104088
38,High,Small,High-Small,No,8,269,981.7371827,0,0,3,0,7253.333333,7461.666667,269,981.7371827
39,High,Large,High-Large,Yes,8,71,351.3320935,0,0,3,0,1346,5174.666667,71,351.3320935
40,Low,Intermediate,Low-Intermediate,Yes,8,41,23.66266164,0,0,3,0,450,711.3333333,41,23.66266164
41,High,Intermediate,High-Intermediate,Yes,8,63,489.4976661,0,0,3,0,1248,3302.333333,63,489.4976661
42,High,Large,High-Large,Yes,8,114,608.6806395,0,0,3,0,2101.666667,3193.333333,114,608.6806395
43,High,Intermediate,High-Intermediate,Yes,8,109,1097.051167,196,6,3,0,2309.666667,1760.666667,109,1097.051167
44,High,Large,High-Large,Yes,8,169,389.2192043,0,0,3,0,2754,2614,169,389.2192043
45,Low,Large,Low-Large,Yes,8,49,34.93487496,0,0,3,0,323.6666667,891.6666667,49,34.93487496
46,High,Intermediate,High-Intermediate,Yes,8,65,670.1308904,0,0,3,0,468.6666667,1056.666667,65,670.1308904
47,Low,Small,Low-Small,No,8,21,111.5901649,0,0,3,0,447.3333333,618,21,111.5901649
48,High,Intermediate,High-Intermediate,No,8,76,462.5991183,0,0,3,21,869.3333333,2225.333333,76,462.5991183
1,High,Small,High-Small,No,9,178,476.0765207,0,0,3,0,1370,1143.333333,178,476.0765207
2,Low,Intermediate,Low-Intermediate,Yes,9,25,303.7240573,0,0,3,0,1505.333333,816.6666667,25,303.7240573
3,Low,Intermediate,Low-Intermediate,Yes,9,66,96.82354769,0,0,3,0,566.3333333,4849.666667,66,96.82354769
4,High,Small,High-Small,Yes,9,411,924.1084142,166,1,3,0,6998,2845.333333,411,924.1084142
5,High,Small,High-Small,Yes,9,143,1357.860361,82,1,3,0,7663.666667,3563.666667,143,1357.860361
6,Low,Small,Low-Small,Yes,9,81,192.5288864,0,0,3,1,1304,1014.333333,81,192.5288864
7,High,Large,High-Large,No,9,116,629.3724018,0,0,3,0,2636,6616.666667,116,629.3724018
8,Low,Large,Low-Large,Yes,9,129,201.8359959,0,0,3,0,205,1078.666667,129,201.8359959
9,Low,Small,Low-Small,Yes,9,76,205.7209575,350,1,3,0,273,483.3333333,76,205.7209575
10,Low,Small,Low-Small,Yes,9,49,325.01256,178,1,3,0,256,1102.333333,49,325.01256
11,High,Large,High-Large,Yes,9,175,418.1398021,0,0,3,0,586,5474,175,418.1398021
12,Low,Large,Low-Large,No,9,36,194.5955617,0,0,3,0,729.6666667,1275.666667,36,194.5955617
13,Low,Intermediate,Low-Intermediate,Yes,9,33,71.52397453,0,0,3,0,244,5875.666667,33,71.52397453
14,High,Small,High-Small,Yes,9,81,733.609594,214,5,3,0,1154,1937.666667,81,733.609594
15,Low,Large,Low-Large,No,9,16,89.44878484,0,0,3,0,1537.666667,1440,16,89.44878484
16,Low,Intermediate,Low-Intermediate,No,9,43,209.6973822,0,0,3,0,942.6666667,1501.666667,43,209.6973822
17,Low,Large,Low-Large,Yes,9,88,141.9806591,0,0,3,0,452.3333333,732,88,141.9806591
18,High,Large,High-Large,Yes,9,78,937.0399627,2,1,3,0,1912,3767.666667,78,937.0399627
19,Low,Large,Low-Large,Yes,9,95,498.1385566,550,3,3,0,798.3333333,1826,95,498.1385566
20,Low,Intermediate,Low-Intermediate,No,9,93,241.3112192,0,0,3,0,619,972.6666667,93,241.3112192
21,High,Intermediate,High-Intermediate,Yes,9,235,1205.913094,50,1,3,0,2823.666667,1723,235,1205.913094
22,High,Small,High-Small,Yes,9,267,172.3441443,0,0,3,0,414.6666667,1220,267,172.3441443
23,High,Intermediate,High-Intermediate,No,9,154,738.1005432,0,0,3,0,914.3333333,3195,154,738.1005432
24,High,Intermediate,High-Intermediate,Yes,9,150,526.8372503,463,1,3,0,7453.333333,2197.666667,150,526.8372503
25,Low,Small,Low-Small,Yes,9,50,58.84881902,0,0,3,0,487.6666667,683.6666667,50,58.84881902
26,Low,Small,Low-Small,Yes,9,74,88.74863345,0,0,3,0,620.6666667,1436.333333,74,88.74863345
27,Low,Large,Low-Large,Yes,9,55,60.19955904,0,0,3,0,687.3333333,1980.666667,55,60.19955904
28,High,Small,High-Small,Yes,9,162,583.1124124,0,0,3,0,544,3676.333333,162,583.1124124
29,Low,Small,Low-Small,No,9,57,148.983641,0,0,3,1,440,1365.666667,57,148.983641
30,Low,Small,Low-Small,Yes,9,153,303.7709466,0,0,3,0,636.6666667,685.6666667,153,303.7709466
31,High,Large,High-Large,Yes,9,213,887.7050796,264,6,3,0,4694.666667,1823.666667,213,887.7050796
32,High,Small,High-Small,Yes,9,237,549.7265215,0,0,3,0,5528.666667,9977.333333,237,549.7265215
33,Low,Intermediate,Low-Intermediate,Yes,9,111,133.2939892,187,2,3,0,930.6666667,1114,111,133.2939892
34,Low,Intermediate,Low-Intermediate,Yes,9,44,189.4237017,0,0,3,0,697.6666667,2045,44,189.4237017
35,High,Large,High-Large,No,9,79,717.5711352,0,0,3,0,518.6666667,6870.333333,79,717.5711352
36,Low,Large,Low-Large,Yes,9,38,223.2143146,0,0,3,0,853,1602,38,223.2143146
37,High,Intermediate,High-Intermediate,Yes,9,79,365.6720923,998,8,3,0,712.6666667,7472.333333,79,365.6720923
38,High,Small,High-Small,No,9,134,427.4339532,0,0,3,0,6002,10886,134,427.4339532
39,High,Large,High-Large,Yes,9,84,422.7120345,0,0,3,0,1148.666667,4992.666667,84,422.7120345
40,Low,Intermediate,Low-Intermediate,Yes,9,64,53.70027788,245,1,3,0,466,854.3333333,64,53.70027788
41,High,Intermediate,High-Intermediate,Yes,9,88,714.0792364,49,3,3,0,1007,2281.666667,88,714.0792364
42,High,Large,High-Large,Yes,9,155,613.3406867,0,0,3,0,3728,2526.333333,155,613.3406867
43,High,Intermediate,High-Intermediate,Yes,9,146,908.6195189,24,2,3,0,2428.333333,6525.666667,146,908.6195189
44,High,Large,High-Large,Yes,9,95,232.4809656,230,2,3,0,3263.333333,1635,95,232.4809656
45,Low,Large,Low-Large,Yes,9,28,169.5930515,0,0,3,0,796,918.3333333,28,169.5930515
46,High,Intermediate,High-Intermediate,Yes,9,88,649.7618373,0,0,3,0,275.6666667,1354,88,649.7618373
47,Low,Small,Low-Small,No,9,30,121.6651262,0,0,3,2,306.3333333,606,30,121.6651262
48,High,Intermediate,High-Intermediate,No,9,110,280.3187705,0,0,3,0,2605.333333,6522,110,280.3187705
1,High,Small,High-Small,No,10,65,297.8444562,0,0,3,0,915,2277.666667,65,297.8444562
2,Low,Intermediate,Low-Intermediate,Yes,10,13,3.970979711,0,0,3,0,1574,1359,13,3.970979711
3,Low,Intermediate,Low-Intermediate,Yes,10,41,21.87723234,0,0,3,0,375.3333333,1573.666667,41,21.87723234
4,High,Small,High-Small,Yes,10,253,507.7784021,0,0,3,0,7392.333333,9013,253,507.7784021
5,High,Small,High-Small,Yes,10,157,1093.534441,146,1,3,0,2801,1902.666667,157,1093.534441
6,Low,Small,Low-Small,Yes,10,60,244.1791622,0,0,3,0,1872.333333,1288,60,244.1791622
7,High,Large,High-Large,No,10,68,267.5334028,0,0,3,0,2371,4332.666667,68,267.5334028
8,Low,Large,Low-Large,Yes,10,101,224.5928081,876,1,3,0,257.6666667,448.6666667,101,224.5928081
9,Low,Small,Low-Small,Yes,10,36,58.89765001,0,0,3,0,404,450.6666667,36,58.89765001
10,Low,Small,Low-Small,Yes,10,48,305.1239347,552,1,3,0,500,1211,48,305.1239347
11,High,Large,High-Large,Yes,10,229,528.8026922,0,0,3,0,675,3802.333333,229,528.8026922
12,Low,Large,Low-Large,No,10,30,64.71414406,0,0,3,0,214.3333333,849.6666667,30,64.71414406
13,Low,Intermediate,Low-Intermediate,Yes,10,15,41.35839213,0,0,3,0,399.6666667,1131.333333,15,41.35839213
14,High,Small,High-Small,Yes,10,88,348.8858212,0,0,3,0,1989,1548,88,348.8858212
15,Low,Large,Low-Large,No,10,15,11.08068716,0,0,3,0,1266.666667,682,15,11.08068716
16,Low,Intermediate,Low-Intermediate,No,10,49,277.5314998,0,0,3,0,323.6666667,1192.666667,49,277.5314998
17,Low,Large,Low-Large,Yes,10,105,41.26376418,0,0,3,0,262.6666667,642.6666667,105,41.26376418
18,High,Large,High-Large,Yes,10,52,317.4327437,69,1,3,0,1423,3776,52,317.4327437
19,Low,Large,Low-Large,Yes,10,112,247.0519529,919,1,3,0,228.6666667,1081.333333,112,247.0519529
20,Low,Intermediate,Low-Intermediate,No,10,57,34.81088857,0,0,3,0,571,3154.666667,57,34.81088857
21,High,Intermediate,High-Intermediate,Yes,10,117,1261.672444,4,1,3,0,2624.333333,2584.666667,117,1261.672444
22,High,Small,High-Small,Yes,10,202,163.9035443,0,0,3,0,1162,2085.333333,202,163.9035443
23,High,Intermediate,High-Intermediate,No,10,92,629.209029,0,0,3,0,757,2970,92,629.209029
24,High,Intermediate,High-Intermediate,Yes,10,182,773.4362398,0,0,3,0,171.6666667,1355,182,773.4362398
25,Low,Small,Low-Small,Yes,10,42,250.197504,0,0,3,0,658.6666667,653.6666667,42,250.197504
26,Low,Small,Low-Small,Yes,10,66,154.1403995,0,0,3,0,612,755.3333333,66,154.1403995
27,Low,Large,Low-Large,Yes,10,88,35.50972208,0,0,3,0,545.6666667,1811,88,35.50972208
28,High,Small,High-Small,Yes,10,65,228.1052673,0,0,3,0,1193.666667,10577,65,228.1052673
29,Low,Small,Low-Small,No,10,43,260.8011148,0,0,3,1,845.6666667,509,43,260.8011148
30,Low,Small,Low-Small,Yes,10,95,234.1233747,0,0,3,0,971.6666667,540,95,234.1233747
31,High,Large,High-Large,Yes,10,144,413.873988,178,3,3,0,1396.666667,618,144,413.873988
