Tank,N & P,Size,Treatment,Schisto,Week,Snail,Total_Biomass,Cercarial_production,Infected_abundance,Sampling_Effort,Eggs,Phyto_F,Peri_F,Snail_density,Biomass_density
39,High,Large,High-Large,Yes,1,12,297.4504292,0,0,6,1,968,6486.333333,6,148.7252146
40,Low,Intermediate,Low-Intermediate,Yes,1,8,100.0779662,0,0,6,1,810.3333333,9562,4,50.0389831
41,High,Intermediate,High-Intermediate,Yes,1,16,295.0941164,0,0,6,5,2582.666667,2661.333333,8,147.5470582
42,High,Large,High-Large,Yes,1,11,529.2385155,0,0,6,2,1444.666667,4528.666667,6,264.6192578
43,High,Intermediate,High-Intermediate,Yes,1,10,84.35320959,0,0,6,0,1757.666667,17377.66667,5,42.1766048
44,High,Large,High-Large,Yes,1,13,342.6876637,0,0,6,0,2265.666667,1842.333333,7,171.3438319
45,Low,Large,Low-Large,Yes,1,17,604.2118898,0,0,6,8,537,4761.333333,9,302.1059449
46,High,Intermediate,High-Intermediate,Yes,1,18,218.4038635,0,0,6,5,1303,9173.666667,9,109.2019318
47,Low,Small,Low-Small,No,1,12,82.92807736,0,0,6,0,178.3333333,2401.333333,6,41.46403868
48,High,Intermediate,High-Intermediate,No,1,12,121.5036729,0,0,6,3,1359,3783.666667,6,60.75183645
1,High,Small,High-Small,No,2,5,44.6674758,0,0,6,1,1811,13077.33333,3,22.3337379
2,Low,Intermediate,Low-Intermediate,Yes,2,12,114.9559558,0,0,6,4,1496.666667,14666.33333,6,57.4779779
3,Low,Intermediate,Low-Intermediate,Yes,2,11,286.4264058,0,0,6,198,227.6666667,1261.333333,6,143.2132029
4,High,Small,High-Small,Yes,2,10,17.65303231,0,0,6,0,1212.333333,15852,5,8.826516155
5,High,Small,High-Small,Yes,2,4,24.6537451,0,0,6,11,1012.666667,18170.66667,2,12.32687255
6,Low,Small,Low-Small,Yes,2,9,132.8900751,0,0,6,13,684,13135,5,66.44503755
7,High,Large,High-Large,No,2,11,282.9182213,0,0,6,23,1712.666667,18642.33333,6,141.4591107
8,Low,Large,Low-Large,Yes,2,39,890.6349286,0,0,6,21,715.3333333,1368.333333,20,445.3174643
9,Low,Small,Low-Small,Yes,2,17,343.8244717,0,0,6,13,456.3333333,1244,9,171.9122359
10,Low,Small,Low-Small,Yes,2,12,47.69555174,0,0,6,0,546,1866,6,23.84777587
11,High,Large,High-Large,Yes,2,32,608.0448345,0,0,6,41,2039.333333,3518,16,304.0224173
12,Low,Large,Low-Large,No,2,14,357.5959587,0,0,6,2,1520.333333,19093.33333,7,178.7979794
13,Low,Intermediate,Low-Intermediate,Yes,2,53,331.2595345,0,0,6,31,401,2584.333333,27,165.6297673
14,High,Small,High-Small,Yes,2,17,253.7523008,0,0,6,11,2836.333333,10519,9,126.8761504
15,Low,Large,Low-Large,No,2,84,719.4727467,0,0,6,43,648,2601,42,359.7363734
16,Low,Intermediate,Low-Intermediate,No,2,15,153.5910679,0,0,6,16,628.3333333,10881,8,76.79553395
17,Low,Large,Low-Large,Yes,2,54,662.8333768,0,0,6,0,457,717,27,331.4166884
18,High,Large,High-Large,Yes,2,51,492.0659872,0,0,6,40,2823.333333,5276,26,246.0329936
19,Low,Large,Low-Large,Yes,2,27,464.4844804,0,0,6,6,597,17879.66667,14,232.2422402
20,Low,Intermediate,Low-Intermediate,No,2,24,551.4267462,0,0,6,11,265.3333333,1464,12,275.7133731
21,High,Intermediate,High-Intermediate,Yes,2,25,344.0087422,0,0,6,13,2293.666667,12322.66667,13,172.0043711
22,High,Small,High-Small,Yes,2,8,78.22083823,0,0,6,9,2916.666667,2793,4,39.11041912
23,High,Intermediate,High-Intermediate,No,2,16,209.9383868,0,0,6,4,2178,8018,8,104.9691934
24,High,Intermediate,High-Intermediate,Yes,2,12,123.061655,0,0,6,0,2475.666667,3105.666667,6,61.5308275
25,Low,Small,Low-Small,Yes,2,10,139.4697811,0,0,6,5,263.6666667,1375,5,69.73489055
26,Low,Small,Low-Small,Yes,2,3,9.138653754,0,0,6,0,1749.666667,6954.333333,2,4.569326877
27,Low,Large,Low-Large,Yes,2,23,186.6379671,0,0,6,7,859.6666667,3010.333333,12,93.31898355
28,High,Small,High-Small,Yes,2,15,80.90268307,0,0,6,2,2082,16028.33333,8,40.45134154
29,Low,Small,Low-Small,No,2,11,37.28612537,0,0,6,0,2353,4825,6,18.64306269
30,Low,Small,Low-Small,Yes,2,10,23.14823936,0,0,6,0,926.3333333,5566.666667,5,11.57411968
31,High,Large,High-Large,Yes,2,19,604.2384793,0,0,6,21,646.6666667,931.6666667,10,302.1192397
32,High,Small,High-Small,Yes,2,15,69.82821468,0,0,6,2,1569.333333,16845.66667,8,34.91410734
33,Low,Intermediate,Low-Intermediate,Yes,2,16,161.4976792,0,0,6,7,1226,4823.666667,8,80.7488396
34,Low,Intermediate,Low-Intermediate,Yes,2,16,107.5796841,0,0,6,0,1132,10978.33333,8,53.78984205
35,High,Large,High-Large,No,2,40,406.3552923,0,0,6,16,4592,5474.666667,20,203.1776462
36,Low,Large,Low-Large,Yes,2,16,221.7824228,0,0,6,0,1372,12505.66667,8,110.8912114
37,High,Intermediate,High-Intermediate,Yes,2,13,130.7113618,0,0,6,0,1997,1980.666667,7,65.3556809
38,High,Small,High-Small,No,2,12,169.3219977,0,0,6,17,1390.666667,15656,6,84.66099885
39,High,Large,High-Large,Yes,2,30,594.0833604,0,0,6,27,545,3434.333333,15,297.0416802
40,Low,Intermediate,Low-Intermediate,Yes,2,22,755.342663,0,0,6,12,1802,2182.333333,11,377.6713315
41,High,Intermediate,High-Intermediate,Yes,2,15,368.6292105,0,0,6,35,2020,5318,8,184.3146053
42,High,Large,High-Large,Yes,2,27,480.165236,0,0,6,9,369.6666667,2121.333333,14,240.082618
43,High,Intermediate,High-Intermediate,Yes,2,16,84.3674825,0,0,6,1,2104.666667,12476,8,42.18374125
44,High,Large,High-Large,Yes,2,28,478.822213,0,0,6,0,4732.666667,3440.333333,14,239.4111065
45,Low,Large,Low-Large,Yes,2,80,650.6376378,0,0,6,0,449.3333333,946,40,325.3188189
46,High,Intermediate,High-Intermediate,Yes,2,33,444.4503935,0,0,6,18,2373.666667,5849,17,222.2251968
47,Low,Small,Low-Small,No,2,13,253.4942907,0,0,6,4,274.3333333,1765,7,126.7471454
48,High,Intermediate,High-Intermediate,No,2,25,334.4038317,0,0,6,10,1932,4855.333333,13,167.2019159
1,High,Small,High-Small,No,3,5,140.4499255,0,0,6,10,1177,3293.666667,3,70.22496275
2,Low,Intermediate,Low-Intermediate,Yes,3,21,331.8412655,0,0,6,25,155.3333333,1695.666667,11,165.9206328
